Happy,Angry,Surprise,Sad,Fear
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.25,0.25,0.25
0.33,0.0,0.33,0.33,0.0
0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.5,0.0
0.0,0.0,0.0,0.33,0.67
1.0,0.0,0.0,0.0,0.0
0.17,0.0,0.28,0.22,0.33
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.2,0.2,0.2,0.0,0.4
0.33,0.0,0.0,0.67,0.0
0.0,0.0,0.5,0.5,0.0
0.33,0.0,0.17,0.17,0.33
0.0,0.33,0.0,0.0,0.67
0.33,0.0,0.33,0.0,0.33
0.75,0.0,0.0,0.0,0.25
0.33,0.0,0.33,0.0,0.33
0.2,0.2,0.2,0.0,0.4
0.5,0.0,0.0,0.5,0.0
0.5,0.0,0.0,0.25,0.25
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.67,0.33
0.33,0.0,0.0,0.17,0.5
0.25,0.0,0.25,0.25,0.25
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.17,0.17,0.67
0.75,0.0,0.0,0.0,0.25
0.5,0.0,0.0,0.0,0.5
0.5,0.07,0.07,0.14,0.21
0.5,0.0,0.0,0.0,0.5
0.75,0.0,0.0,0.25,0.0
0.0,0.25,0.75,0.0,0.0
0.25,0.08,0.17,0.08,0.42
0.4,0.0,0.0,0.2,0.4
0.36,0.05,0.05,0.23,0.32
1.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.33
0.67,0.0,0.33,0.0,0.0
0.1,0.1,0.2,0.2,0.4
0.33,0.03,0.09,0.27,0.27
0.2,0.0,0.0,0.2,0.6
0.0,0.0,0.0,0.0,1.0
0.27,0.0,0.18,0.18,0.36
0.5,0.0,0.0,0.25,0.25
0.25,0.04,0.08,0.21,0.42
0.22,0.17,0.06,0.17,0.39
0.26,0.11,0.11,0.32,0.21
0.33,0.03,0.09,0.27,0.27
0.38,0.0,0.23,0.15,0.23
0.33,0.0,0.08,0.08,0.5
0.5,0.0,0.0,0.0,0.5
0.33,0.1,0.1,0.14,0.33
0.33,0.0,0.33,0.0,0.33
0.38,0.12,0.12,0.0,0.38
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.5,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.16,0.26,0.32
1.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.67
0.22,0.0,0.0,0.11,0.67
0.33,0.0,0.17,0.33,0.17
0.21,0.07,0.07,0.21,0.43
0.33,0.0,0.33,0.33,0.0
0.67,0.0,0.0,0.33,0.0
0.33,0.33,0.0,0.0,0.33
0.5,0.0,0.0,0.5,0.0
0.5,0.0,0.0,0.0,0.5
0.6,0.2,0.0,0.0,0.2
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.33,0.0,0.67
0.08,0.08,0.23,0.08,0.54
0.0,0.0,0.0,1.0,0.0
0.5,0.0,0.0,0.5,0.0
0.19,0.06,0.12,0.38,0.25
0.14,0.14,0.14,0.43,0.14
0.0,0.0,0.33,0.33,0.33
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.33,0.33,0.0,0.0,0.33
0.0,0.4,0.0,0.2,0.4
0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.43,0.43
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.33
0.5,0.0,0.0,0.25,0.25
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
0.09,0.45,0.09,0.18,0.18
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.5,0.0,0.0
0.0,0.25,0.25,0.25,0.25
0.5,0.0,0.0,0.0,0.5
0.33,0.0,0.0,0.33,0.33
0.5,0.5,0.0,0.0,0.0
0.0,0.0,0.5,0.25,0.25
0.67,0.0,0.0,0.33,0.0
0.11,0.33,0.33,0.22,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.33,0.33,0.0,0.33,0.0
0.0,0.5,0.5,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.0,0.0,0.0
0.0,0.5,0.0,0.5,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.5,0.0,0.5
0.11,0.0,0.0,0.56,0.33
0.18,0.45,0.0,0.09,0.27
0.2,0.4,0.0,0.2,0.2
0.0,0.0,0.0,0.5,0.5
0.5,0.0,0.5,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.4,0.2,0.4
0.33,0.33,0.0,0.0,0.33
0.0,0.5,0.0,0.5,0.0
0.33,0.33,0.0,0.0,0.33
0.0,0.5,0.0,0.5,0.0
0.36,0.09,0.18,0.27,0.09
1.0,0.0,0.0,0.0,0.0
0.75,0.25,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.33,0.33,0.33
0.33,0.33,0.0,0.0,0.33
0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.29,0.0,0.14,0.14,0.43
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.0,0.75
0.21,0.29,0.07,0.29,0.14
0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.5
0.0,0.33,0.0,0.67,0.0
0.5,0.0,0.5,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.5,0.0
0.17,0.17,0.0,0.17,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.22,0.11,0.11,0.56
0.0,0.5,0.0,0.5,0.0
0.25,0.0,0.25,0.25,0.25
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.29,0.71
0.4,0.2,0.2,0.0,0.2
0.2,0.0,0.0,0.2,0.6
0.0,0.0,0.0,0.0,0.0
0.29,0.29,0.14,0.0,0.29
0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.5,0.0,0.0,0.5,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.5,0.25,0.0,0.25,0.0
0.0,0.33,0.0,0.33,0.33
0.43,0.14,0.0,0.29,0.14
0.5,0.25,0.0,0.25,0.0
0.0,0.0,0.5,0.0,0.5
0.17,0.17,0.33,0.0,0.33
0.31,0.08,0.08,0.38,0.15
0.0,1.0,0.0,0.0,0.0
0.33,0.33,0.0,0.0,0.33
0.0,0.0,0.0,1.0,0.0
0.12,0.25,0.0,0.25,0.38
0.0,0.67,0.33,0.0,0.0
0.5,0.0,0.5,0.0,0.0
0.12,0.25,0.12,0.25,0.25
0.0,0.0,0.0,0.5,0.5
0.14,0.14,0.0,0.29,0.43
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.29,0.14,0.29,0.29
0.5,0.0,0.3,0.1,0.1
0.0,0.0,0.0,0.33,0.67
0.0,0.0,0.0,0.0,0.0
0.4,0.2,0.0,0.2,0.2
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.67,0.33
0.2,0.2,0.0,0.2,0.4
0.0,0.0,0.4,0.2,0.4
0.5,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.67
1.0,0.0,0.0,0.0,0.0
0.5,0.25,0.0,0.0,0.25
0.0,0.0,0.0,0.5,0.5
0.14,0.27,0.14,0.14,0.32
0.0,0.12,0.5,0.0,0.38
0.33,0.33,0.0,0.33,0.0
0.0,0.0,0.33,0.0,0.67
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.23,0.0,0.15,0.23,0.38
0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.2,0.4
0.44,0.0,0.22,0.0,0.33
1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.17,0.0,0.0,0.17,0.67
0.0,0.5,0.0,0.5,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.25,0.0,0.5,0.0,0.25
0.5,0.0,0.0,0.25,0.25
0.0,0.0,0.5,0.0,0.5
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.24,0.18,0.0,0.29,0.29
0.08,0.25,0.08,0.25,0.33
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.3,0.1,0.0,0.1,0.5
0.25,0.0,0.0,0.5,0.25
0.67,0.33,0.0,0.0,0.0
0.0,0.33,0.33,0.33,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.33,0.11,0.0,0.33,0.22
0.0,0.5,0.0,0.5,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.33,0.33,0.33,0.0
0.0,0.0,0.25,0.12,0.62
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.5
0.5,0.12,0.12,0.0,0.25
0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0
0.5,0.17,0.17,0.0,0.17
0.0,0.0,0.5,0.0,0.5
0.29,0.0,0.14,0.14,0.43
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.2,0.0,0.0,0.4,0.4
0.75,0.0,0.25,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.43,0.14,0.0,0.14,0.29
0.67,0.0,0.0,0.33,0.0
0.38,0.0,0.12,0.25,0.25
0.0,0.0,0.0,1.0,0.0
0.25,0.25,0.12,0.25,0.12
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.4,0.4
0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.29,0.0,0.14,0.43,0.14
0.0,0.33,0.17,0.33,0.17
0.33,0.33,0.0,0.0,0.33
0.0,0.0,0.5,0.5,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0
0.17,0.0,0.17,0.17,0.5
0.1,0.2,0.2,0.1,0.4
0.0,0.0,0.0,0.0,1.0
0.0,0.6,0.0,0.2,0.2
0.0,0.33,0.33,0.17,0.17
0.5,0.0,0.0,0.0,0.5
0.33,0.33,0.0,0.33,0.0
0.33,0.0,0.33,0.0,0.33
0.33,0.0,0.0,0.33,0.33
0.33,0.0,0.0,0.33,0.33
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.29,0.57,0.0,0.14,0.0
0.0,0.25,0.0,0.38,0.38
0.0,0.0,1.0,0.0,0.0
0.43,0.29,0.0,0.14,0.14
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.2,0.0,0.0,0.6,0.2
0.12,0.0,0.5,0.12,0.25
1.0,0.0,0.0,0.0,0.0
0.12,0.25,0.12,0.5,0.0
0.29,0.29,0.0,0.0,0.43
0.25,0.0,0.25,0.25,0.25
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.17,0.17,0.42
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.25,0.5,0.0,0.25,0.0
0.5,0.0,0.0,0.5,0.0
0.0,0.0,0.0,0.0,1.0
0.33,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.67,0.33
0.33,0.0,0.17,0.17,0.33
0.5,0.5,0.0,0.0,0.0
0.2,0.0,0.2,0.2,0.4
0.43,0.14,0.0,0.14,0.29
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.14,0.29,0.14,0.0,0.43
0.14,0.0,0.14,0.0,0.71
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.33,0.0
0.67,0.0,0.0,0.0,0.33
0.6,0.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.17,0.17,0.0,0.33,0.33
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.33,0.67
0.33,0.0,0.0,0.33,0.33
0.25,0.25,0.0,0.5,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.25,0.25
0.5,0.5,0.0,0.0,0.0
0.17,0.17,0.17,0.17,0.33
0.0,0.0,0.0,0.67,0.33
0.5,0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.67,0.0,0.0,0.0,0.33
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2,0.4,0.2,0.2,0.0
0.0,0.33,0.0,0.0,0.67
0.4,0.2,0.2,0.2,0.0
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5,0.5
0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.33,0.0,0.33,0.33
0.67,0.0,0.0,0.0,0.33
0.33,0.0,0.17,0.17,0.33
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.33,0.33,0.33
0.33,0.33,0.0,0.33,0.0
0.0,1.0,0.0,0.0,0.0
0.8,0.0,0.2,0.0,0.0
0.5,0.0,0.0,0.5,0.0
0.33,0.33,0.0,0.33,0.0
0.67,0.0,0.0,0.0,0.33
0.33,0.0,0.0,0.33,0.33
0.0,0.14,0.14,0.43,0.29
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.4,0.2,0.0,0.2,0.2
0.08,0.17,0.17,0.25,0.33
0.25,0.0,0.0,0.5,0.25
0.5,0.0,0.5,0.0,0.0
0.0,0.25,0.0,0.25,0.5
0.0,0.4,0.0,0.6,0.0
0.09,0.09,0.09,0.36,0.36
0.31,0.08,0.08,0.15,0.38
0.38,0.08,0.0,0.15,0.38
0.5,0.0,0.5,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.08,0.17,0.17,0.33,0.25
0.6,0.0,0.0,0.0,0.4
0.0,0.0,0.33,0.67,0.0
0.17,0.0,0.0,0.33,0.5
0.14,0.14,0.43,0.14,0.14
0.0,0.0,0.5,0.0,0.5
0.17,0.17,0.0,0.17,0.5
0.2,0.0,0.0,0.6,0.2
0.25,0.0,0.25,0.0,0.5
0.0,0.0,1.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.5,0.0
0.11,0.22,0.0,0.11,0.56
0.0,0.0,0.0,0.5,0.5
0.0,0.0,0.12,0.25,0.62
0.5,0.25,0.25,0.0,0.0
0.33,0.0,0.0,0.5,0.17
0.33,0.17,0.0,0.0,0.5
0.0,0.5,0.25,0.0,0.25
0.0,0.33,0.0,0.33,0.33
0.25,0.0,0.0,0.25,0.5
0.17,0.0,0.0,0.5,0.33
0.16,0.26,0.26,0.05,0.26
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.5,0.0
0.5,0.0,0.5,0.0,0.0
0.17,0.33,0.0,0.17,0.33
0.0,0.0,0.0,0.0,1.0
0.1,0.1,0.1,0.2,0.5
0.0,0.2,0.4,0.2,0.2
0.0,0.17,0.33,0.33,0.17
0.0,0.5,0.5,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.29,0.0,0.14,0.29,0.29
0.38,0.12,0.25,0.0,0.25
0.33,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.25,0.25,0.25
0.22,0.11,0.03,0.3,0.35
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.33,0.67
0.28,0.0,0.06,0.44,0.22
0.5,0.0,0.0,0.0,0.5
0.5,0.5,0.0,0.0,0.0
0.2,0.2,0.1,0.2,0.3
0.0,0.5,0.5,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.25,0.5
0.08,0.0,0.08,0.17,0.67
0.0,0.0,0.0,0.33,0.67
1.0,0.0,0.0,0.0,0.0
0.21,0.14,0.0,0.21,0.43
0.0,0.2,0.4,0.2,0.2
0.0,0.19,0.19,0.25,0.38
0.33,0.0,0.0,0.0,0.67
0.0,0.4,0.2,0.4,0.0
0.5,0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.06,0.29,0.06,0.24,0.35
0.0,0.17,0.17,0.17,0.5
0.33,0.33,0.0,0.0,0.33
0.06,0.33,0.11,0.33,0.17
0.5,0.0,0.25,0.0,0.25
0.0,0.0,0.11,0.0,0.89
0.0,0.0,0.5,0.0,0.5
0.29,0.0,0.0,0.29,0.43
0.0,0.0,0.0,0.67,0.33
0.0,0.0,0.0,0.17,0.83
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0
0.25,0.0,0.25,0.25,0.25
0.0,0.0,0.11,0.67,0.22
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.5
0.12,0.0,0.25,0.25,0.38
0.25,0.0,0.25,0.0,0.5
0.2,0.0,0.0,0.4,0.4
0.25,0.25,0.0,0.5,0.0
1.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.33,0.33
0.25,0.0,0.0,0.62,0.12
0.2,0.0,0.4,0.2,0.2
0.22,0.0,0.11,0.22,0.44
0.25,0.5,0.0,0.25,0.0
0.67,0.0,0.0,0.0,0.33
0.25,0.5,0.0,0.25,0.0
0.5,0.0,0.0,0.17,0.33
0.25,0.25,0.0,0.25,0.25
0.0,0.25,0.25,0.25,0.25
0.0,0.33,0.33,0.0,0.33
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
